playerID,teamID,username,country,role,details,overall_rating
1,1,ZywOo,France,AWP,,1.48
2,1,apEX,France,IGL,,1.13
3,1,ropz,Estonia,Rifler,,1.37
4,1,flameZ,Israel,Entry,,1.23
5,1,mezii,UK,Support,,1.15
6,2,donk,Russia,Entry,,1.42
7,2,sh1ro,Russia,AWP,,1.28
8,2,chopper,Russia,IGL,,1.08
9,2,tN1R,Belarus,Rifler,,1.14
10,2,zweih,Russia,Support,,1.13
11,3,broky,Latvia,AWP,,1.01
12,3,karrigan,Denmark,IGL,,1.05
13,3,rain,Norway,Entry,,1.08
14,3,frozen,Slovakia,Rifler,,0.98
15,3,twistzz,Canada,Rifler,,1.08
16,4,SunPayes,Spain,AWP,,1.06
17,4,MATYS,Slovakia,Rifler,,1.02
18,4,huNter-,Bosnia,IGL,,1.0
19,4,HeavyGod,Israel,Support,,1.09
20,4,malbsMd,Guatamala,Rifler,,1.02
21,5,torzsi,Hungary,AWP,,0.99
22,5,Brollan,Sweden,IGL,,0.99
23,5,Jimpphat,Finland,Rifler,,1.08
24,5,xertioN,Israel,Entry,,1.05
25,5,Spinx,Israel,Rifler,,1.08
